readout_gene,readout_class,replicate,assay,target_gene,day,shrna,bias,num_reads,cell_density,extra_umi
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,0.615384615,26,DIFFUSE SOME CLUMPS,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,0,2,DIFFUSE DEAD,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,0,5,DIFFUSE DEAD,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,0.066666667,15,DIFFUSE SOME CLUMPS,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,0,2,DIFFUSE DEAD,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,0.142857143,7,DIFFUSE DEAD,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,0,3,DIFFUSE SOME CLUMPS,
Casd1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,0,1,DIFFUSE DEAD,
Casd1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,0,7,DIFFUSE DEAD,
Casd1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,0,22,DIFFUSE SOME CLUMPS,
Ccnj,BAE,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,0.5,2,DIFFUSE DEAD,
Ccnj,BAE,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,0,1,DIFFUSE DEAD,
Ccnj,BAE,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,0.636363636,11,DIFFUSE SOME CLUMPS,
Col6a5,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,1,2,DIFFUSE DEAD,
Col6a5,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,1,3,DIFFUSE DEAD,
Col6a5,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,1,5,DIFFUSE SOME CLUMPS,
Dnajc12,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,1,2,DIFFUSE DEAD,
Dnajc12,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,1,7,DIFFUSE DEAD,
Dnajc12,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,1,16,DIFFUSE SOME CLUMPS,
Fam217b,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,1,2,DIFFUSE DEAD,
Fam217b,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,NA,0,DIFFUSE DEAD,
Fam217b,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,1uM,1,4,DIFFUSE SOME CLUMPS,
